,score,sampleSize,ohlcData,timePeriod,length
0,0.458041958041958,286,o,1d,10
1,0.41847826086956524,184,o,1d,20
2,0.4444444444444444,162,o,1d,30
3,0.42953020134228187,149,o,1d,40
4,0.4088050314465409,159,o,1d,50
5,0.48466257668711654,163,o,1d,60
6,0.4507042253521127,142,o,1d,70
7,0.4117647058823529,136,o,1d,80
8,0.4244604316546763,139,o,1d,90
9,0.44881889763779526,127,o,1d,100
10,0.38738738738738737,111,o,1d,110
11,0.4020618556701031,97,o,1d,120
12,0.43373493975903615,83,o,1d,130
13,0.375,72,o,1d,140
14,0.38333333333333336,60,o,1d,150
15,0.46551724137931033,58,o,1d,160
16,0.4642857142857143,56,o,1d,170
17,0.49056603773584906,53,o,1d,180
18,0.5333333333333333,45,o,1d,190
19,0.5405405405405406,37,o,1d,200
20,0.4297752808988764,1068,o,1h,10
21,0.4476409666283084,869,o,1h,20
22,0.44650499286733236,701,o,1h,30
23,0.4684385382059801,602,o,1h,40
24,0.4854368932038835,515,o,1h,50
25,0.48590021691973967,461,o,1h,60
26,0.47058823529411764,425,o,1h,70
27,0.45569620253164556,395,o,1h,80
28,0.4486486486486487,370,o,1h,90
29,0.46089385474860334,358,o,1h,100
30,0.4604105571847507,341,o,1h,110
31,0.44970414201183434,338,o,1h,120
32,0.425531914893617,329,o,1h,130
33,0.41455696202531644,316,o,1h,140
34,0.41533546325878595,313,o,1h,150
35,0.4037854889589905,317,o,1h,160
36,0.37209302325581395,301,o,1h,170
37,0.4080267558528428,299,o,1h,180
38,0.4523809523809524,294,o,1h,190
39,0.44280442804428044,271,o,1h,200
40,0.4528985507246377,276,h,1d,10
41,0.4690721649484536,194,h,1d,20
42,0.42592592592592593,162,h,1d,30
43,0.3779527559055118,127,h,1d,40
44,0.41509433962264153,106,h,1d,50
45,0.49206349206349204,126,h,1d,60
46,0.5,140,h,1d,70
47,0.4230769230769231,130,h,1d,80
48,0.43478260869565216,115,h,1d,90
49,0.40816326530612246,98,h,1d,100
50,0.41836734693877553,98,h,1d,110
51,0.4948453608247423,97,h,1d,120
52,0.5,80,h,1d,130
53,0.44776119402985076,67,h,1d,140
54,0.45588235294117646,68,h,1d,150
55,0.5161290322580645,62,h,1d,160
56,0.5238095238095238,63,h,1d,170
57,0.4807692307692308,52,h,1d,180
58,0.39215686274509803,51,h,1d,190
59,0.3620689655172414,58,h,1d,200
60,0.49849548645937813,997,h,1h,10
61,0.4795180722891566,830,h,1h,20
62,0.4578804347826087,736,h,1h,30
63,0.4364820846905538,614,h,1h,40
64,0.4540540540540541,555,h,1h,50
65,0.4575569358178054,483,h,1h,60
66,0.4880174291938998,459,h,1h,70
67,0.4942263279445728,433,h,1h,80
68,0.46078431372549017,408,h,1h,90
69,0.43669250645994834,387,h,1h,100
70,0.4297082228116711,377,h,1h,110
71,0.42011834319526625,338,h,1h,120
72,0.42424242424242425,330,h,1h,130
73,0.41379310344827586,319,h,1h,140
74,0.444794952681388,317,h,1h,150
75,0.44884488448844884,303,h,1h,160
76,0.43448275862068964,290,h,1h,170
77,0.40217391304347827,276,h,1h,180
78,0.4115384615384615,260,h,1h,190
79,0.4189723320158103,253,h,1h,200
80,0.4025423728813559,236,l,1d,10
81,0.42487046632124353,193,l,1d,20
82,0.39759036144578314,166,l,1d,30
83,0.3855421686746988,166,l,1d,40
84,0.4421768707482993,147,l,1d,50
85,0.4405594405594406,143,l,1d,60
86,0.45098039215686275,153,l,1d,70
87,0.39097744360902253,133,l,1d,80
88,0.4108527131782946,129,l,1d,90
89,0.44954128440366975,109,l,1d,100
90,0.45918367346938777,98,l,1d,110
91,0.3684210526315789,76,l,1d,120
92,0.42424242424242425,66,l,1d,130
93,0.5833333333333334,60,l,1d,140
94,0.5,44,l,1d,150
95,0.41379310344827586,29,l,1d,160
96,0.4642857142857143,28,l,1d,170
97,0.4,20,l,1d,180
98,0.23076923076923078,13,l,1d,190
99,0.35714285714285715,14,l,1d,200
100,0.5154845154845155,1001,l,1h,10
101,0.4763157894736842,760,l,1h,20
102,0.4855403348554033,657,l,1h,30
103,0.48398576512455516,562,l,1h,40
104,0.4969818913480885,497,l,1h,50
105,0.47874720357941836,447,l,1h,60
106,0.4676258992805755,417,l,1h,70
107,0.4490861618798956,383,l,1h,80
108,0.4438202247191011,356,l,1h,90
109,0.43023255813953487,344,l,1h,100
110,0.4355300859598854,349,l,1h,110
111,0.42900302114803623,331,l,1h,120
112,0.44345238095238093,336,l,1h,130
113,0.42424242424242425,330,l,1h,140
114,0.43125,320,l,1h,150
115,0.3980891719745223,314,l,1h,160
116,0.43537414965986393,294,l,1h,170
117,0.46551724137931033,290,l,1h,180
118,0.47232472324723246,271,l,1h,190
119,0.4925373134328358,268,l,1h,200
120,0.46726190476190477,336,c,1d,10
121,0.45622119815668205,217,c,1d,20
122,0.4411764705882353,170,c,1d,30
123,0.4444444444444444,162,c,1d,40
124,0.4556213017751479,169,c,1d,50
125,0.48255813953488375,172,c,1d,60
126,0.4520547945205479,146,c,1d,70
127,0.4125874125874126,143,c,1d,80
128,0.40298507462686567,134,c,1d,90
129,0.4621212121212121,132,c,1d,100
130,0.40540540540540543,111,c,1d,110
131,0.37894736842105264,95,c,1d,120
132,0.38666666666666666,75,c,1d,130
133,0.3684210526315789,76,c,1d,140
134,0.3548387096774194,62,c,1d,150
135,0.5,66,c,1d,160
136,0.39285714285714285,56,c,1d,170
137,0.4716981132075472,53,c,1d,180
138,0.5227272727272727,44,c,1d,190
139,0.5384615384615384,39,c,1d,200
140,0.47192028985507245,1104,c,1h,10
141,0.4618015963511973,877,c,1h,20
142,0.4667609618104668,707,c,1h,30
143,0.47540983606557374,610,c,1h,40
144,0.4942528735632184,522,c,1h,50
145,0.4870689655172414,464,c,1h,60
146,0.4838709677419355,434,c,1h,70
147,0.4713216957605985,401,c,1h,80
148,0.4477211796246649,373,c,1h,90
149,0.4583333333333333,360,c,1h,100
150,0.46511627906976744,344,c,1h,110
151,0.45132743362831856,339,c,1h,120
152,0.42900302114803623,331,c,1h,130
153,0.4231974921630094,319,c,1h,140
154,0.4222222222222222,315,c,1h,150
155,0.41009463722397477,317,c,1h,160
156,0.37623762376237624,303,c,1h,170
157,0.40604026845637586,298,c,1h,180
158,0.4539249146757679,293,c,1h,190
159,0.43866171003717475,269,c,1h,200
